"findingNumber","registryId","ghsa","package","currentVersion","severity","patchedVersions","dependencyScope","dependencyType","declaration","reachability","surface","actualRisk","patchCompatibility","remediationPlan","breakingChangeRisk","path","url"
"72","1123977","GHSA-v422-hmwv-36x6","body-parser","1.20.4","low",">=1.20.6","production","transitive","","conditionally-runtime-reachable","Medusa HTTP request body parsing","medium","compatible-patch-applied","Upgrade to 1.20.6 within Express's ~1.20.3 range.","low","apps__backend>@medusajs/cli>express>body-parser","https://github.com/advisories/GHSA-v422-hmwv-36x6"
"73","1124008","GHSA-v56q-mh7h-f735","immutable","3.7.6","high",">=4.3.9","production","transitive","","build-or-development-only","GraphQL/Relay code generation","low","no-compatible-patch-in-parent-range","The remaining fix requires Immutable 4 while relay-compiler pins ~3.7.6.","high","apps__backend>@medusajs/cli>@medusajs/utils>@graphql-codegen/typescript>@graphql-codegen/visitor-plugin-common>@graphql-tools/relay-operation-optimizer>@ardatan/relay-compiler>immutable","https://github.com/advisories/GHSA-v56q-mh7h-f735"
"74","1124018","GHSA-xvcm-6775-5m9r","immutable","3.7.6","high",">=4.3.9","production","transitive","","build-or-development-only","GraphQL/Relay code generation","low","no-compatible-patch-in-parent-range","The remaining fix requires Immutable 4 while relay-compiler pins ~3.7.6.","high","apps__backend>@medusajs/cli>@medusajs/utils>@graphql-codegen/typescript>@graphql-codegen/visitor-plugin-common>@graphql-tools/relay-operation-optimizer>@ardatan/relay-compiler>immutable","https://github.com/advisories/GHSA-xvcm-6775-5m9r"
"75","1124066","GHSA-f88m-g3jw-g9cj","sharp","0.34.5","high",">=0.35.0","production","transitive","","not-reachable-with-current-configuration","Next.js optional image optimizer dependency","low","no-compatible-patch-in-parent-range","Sharp 0.35 is outside Next 15.5.21's ^0.34.3 range.","high","apps__storefront>next>sharp","https://github.com/advisories/GHSA-f88m-g3jw-g9cj"
"76","1124252","GHSA-6g55-p6wh-862q","postcss","8.5.6","high",">=8.5.12","production","transitive","","build-or-development-only","Admin/storefront compilation and development server","low","compatible-patch-applied","Upgrade Vite/PostCSS paths to 8.5.25 within Vite's ^8.4.43 range.","low","apps__backend>@medusajs/framework>vite>postcss","https://github.com/advisories/GHSA-6g55-p6wh-862q"
"77","1124252","GHSA-6g55-p6wh-862q","postcss","8.4.31","high",">=8.5.12","production","transitive","","build-or-development-only","Admin/storefront compilation and development server","low","no-compatible-patch-in-parent-range","Next 15.5.21 pins PostCSS exactly to 8.4.31.","high","apps__storefront>next>postcss","https://github.com/advisories/GHSA-6g55-p6wh-862q"
"78","1124268","GHSA-wrjc-x8rr-h8h6","react-router","6.30.4","moderate",">=7.18.0","production","transitive","","admin-runtime-conditional","Authenticated Medusa Admin browser application","medium","no-compatible-patch-in-parent-range","The fix requires React Router 7 while Medusa Admin is on 6.30.4.","high","apps__backend>react-router-dom>react-router","https://github.com/advisories/GHSA-wrjc-x8rr-h8h6"
"79","1124270","GHSA-jjmj-jmhj-qwj2","react-router-dom","6.30.4","moderate","<0.0.0","production","direct","dependencies:6.30.4","admin-runtime-conditional","Authenticated Medusa Admin browser application","medium","no-compatible-patch-in-parent-range","The advisory has no patched 6.x release; Medusa Admin is on 6.30.4.","high","apps__backend>react-router-dom","https://github.com/advisories/GHSA-jjmj-jmhj-qwj2"
"80","1124272","GHSA-337j-9hxr-rhxg","react-router","6.30.4","moderate",">=7.18.0","production","transitive","","admin-runtime-conditional","Authenticated Medusa Admin browser application","medium","no-compatible-patch-in-parent-range","The fix requires React Router 7 while Medusa Admin is on 6.30.4.","high","apps__backend>react-router-dom>react-router","https://github.com/advisories/GHSA-337j-9hxr-rhxg"
"81","1124288","GHSA-r28c-9q8g-f849","postcss","8.5.6","high",">=8.5.18","production","transitive","","build-or-development-only","Admin/storefront compilation and development server","low","compatible-patch-applied","Upgrade Vite/PostCSS paths to 8.5.25 within Vite's ^8.4.43 range.","low","apps__backend>@medusajs/framework>vite>postcss","https://github.com/advisories/GHSA-r28c-9q8g-f849"
"82","1124288","GHSA-r28c-9q8g-f849","postcss","8.4.31","high",">=8.5.18","production","transitive","","build-or-development-only","Admin/storefront compilation and development server","low","no-compatible-patch-in-parent-range","Next 15.5.21 pins PostCSS exactly to 8.4.31.","high","apps__storefront>next>postcss","https://github.com/advisories/GHSA-r28c-9q8g-f849"
"83","1130588","GHSA-mh99-v99m-4gvg","brace-expansion","1.1.12","high",">=1.1.17","production","transitive","","build-or-development-only","CLI, glob, and local package tooling","low","compatible-patch-applied","Upgrade separately within major 1 or major 5.","low","apps__backend>@medusajs/medusa>yalc>glob>minimatch>brace-expansion","https://github.com/advisories/GHSA-mh99-v99m-4gvg"
"84","1130591","GHSA-mh99-v99m-4gvg","brace-expansion","5.0.5","high",">=5.0.8","production","transitive","","build-or-development-only","CLI, glob, and local package tooling","low","compatible-patch-applied","Upgrade separately within major 1 or major 5.","low","apps__backend>@medusajs/cli>glob>minimatch>brace-expansion","https://github.com/advisories/GHSA-mh99-v99m-4gvg"
"85","1130709","GHSA-fxqj-rqcc-2cmp","postcss","8.5.6","moderate",">=8.5.23","production","transitive","","build-or-development-only","Admin/storefront compilation and development server","low","compatible-patch-applied","Upgrade Vite/PostCSS paths to 8.5.25 within Vite's ^8.4.43 range.","low","apps__backend>@medusajs/framework>vite>postcss","https://github.com/advisories/GHSA-fxqj-rqcc-2cmp"
"86","1130709","GHSA-fxqj-rqcc-2cmp","postcss","8.5.22","moderate",">=8.5.23","production","transitive","","build-or-development-only","Admin/storefront compilation and development server","low","compatible-patch-applied","Upgrade Vite/PostCSS paths to 8.5.25 within Vite's ^8.4.43 range.","low","apps__backend>@medusajs/medusa>@medusajs/admin-bundler>postcss","https://github.com/advisories/GHSA-fxqj-rqcc-2cmp"
"87","1130709","GHSA-fxqj-rqcc-2cmp","postcss","8.4.31","moderate",">=8.5.23","production","transitive","","build-or-development-only","Admin/storefront compilation and development server","low","no-compatible-patch-in-parent-range","Next 15.5.21 pins PostCSS exactly to 8.4.31.","high","apps__storefront>next>postcss","https://github.com/advisories/GHSA-fxqj-rqcc-2cmp"
"88","1130734","GHSA-rgw5-rvv9-x895","brace-expansion","5.0.5","high",">=5.0.9","production","transitive","","build-or-development-only","CLI, glob, and local package tooling","low","compatible-patch-applied","Upgrade separately within major 1 or major 5.","low","apps__backend>@medusajs/cli>glob>minimatch>brace-expansion","https://github.com/advisories/GHSA-rgw5-rvv9-x895"
"89","1130737","GHSA-rgw5-rvv9-x895","brace-expansion","1.1.12","high",">=1.1.18","production","transitive","","build-or-development-only","CLI, glob, and local package tooling","low","compatible-patch-applied","Upgrade separately within major 1 or major 5.","low","apps__backend>@medusajs/medusa>yalc>glob>minimatch>brace-expansion","https://github.com/advisories/GHSA-rgw5-rvv9-x895"
